joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,paddle_x,paddle_y,paddle_z
0.01864112913608551,-0.1559150218963623,-8.19002598291263e-05,0.14872434735298157,-0.009739517234265804,-0.11085178703069687,-0.002018806291744113,-0.918156087398529,8.118478581309319e-05,-2.3550989627838135,1.5711256265640259,-0.15573713183403015,-0.910889744758606,0.6774196624755859
0.06363806128501892,-0.14134520292282104,-6.633921293541789e-05,0.22257846593856812,-0.007844865322113037,-0.005520850419998169,0.01653658226132393,-1.0267373323440552,0.00018360257672611624,-2.355318784713745,1.570518970489502,-0.1497037261724472,-0.9387914538383484,0.6837691068649292
0.06556396931409836,-0.13702842593193054,-5.373475869419053e-05,0.36009690165519714,-0.0057887546718120575,-0.2526734173297882,-5.588169369730167e-05,-0.8261488080024719,0.00013116539048496634,-2.3554470539093018,1.5707980394363403,-0.1380077302455902,-0.9672025442123413,0.6880293488502502
0.024237629026174545,-0.14719033241271973,-4.352515679784119e-05,0.43442630767822266,-0.002373727969825268,-0.4952012002468109,-0.024083353579044342,-0.6532847285270691,0.0003623908560257405,-2.3551950454711914,1.5708773136138916,-0.13646428287029266,-0.9733152985572815,0.6864906549453735
-0.025428583845496178,-0.14813819527626038,-3.525537613313645e-05,0.4292524456977844,-0.0027348934672772884,-0.594593346118927,-0.011573233641684055,-0.7358274459838867,6.632685835938901e-05,-2.3550267219543457,1.5709640979766846,-0.1447862982749939,-1.000887393951416,0.6582742929458618
-0.07297153025865555,-0.13449916243553162,-2.850655982911121e-05,0.3639848530292511,-0.003125088522210717,-0.6354275345802307,0.00010086238035000861,-0.6761151552200317,-0.0003725855494849384,-2.3565971851348877,1.571054458618164,-0.14099174737930298,-1.011635184288025,0.6356222033500671
-0.07249873131513596,-0.10641907155513763,-2.299193511134945e-05,0.31379637122154236,-0.0032123250421136618,-0.496461421251297,0.008922669105231762,-0.7170425057411194,-0.0008045334834605455,-2.356452226638794,1.571152687072754,-0.12210337817668915,-1.0053324699401855,0.6428316235542297
-0.05381404235959053,-0.08667562156915665,-1.8610797269502655e-05,0.3267762064933777,-0.0017850658623501658,-0.47082236409187317,-0.001921991934068501,-0.8420140743255615,-0.0002770116552710533,-2.3562610149383545,1.5710560083389282,-0.09465805441141129,-1.0170763731002808,0.65132737159729
0.0002651121176313609,-0.08155223727226257,-1.5073063877935056e-05,0.4015977382659912,-0.00038349966052919626,-0.4834599196910858,-0.012860597111284733,-0.6893368363380432,0.00021244394883979112,-2.3562371730804443,1.57100510597229,-0.08043170720338821,-1.0051127672195435,0.6493346691131592
0.017741290852427483,-0.0909615159034729,-1.2213909030833747e-05,0.44257819652557373,0.0012515150010585785,-0.5544424057006836,-0.02518574707210064,-0.6324320435523987,0.000551717821508646,-2.3562216758728027,1.5707981586456299,-0.08054836094379425,-0.983069896697998,0.6798055768013
0.013572431169450283,-0.1148710623383522,-9.893266906146891e-06,0.3904806673526764,0.0024965566117316484,-0.5365116000175476,-0.03441338241100311,-0.723060667514801,0.0008813288877718151,-2.3552777767181396,1.5705815553665161,-0.09542234987020493,-0.9724856019020081,0.6608365178108215
0.16141873598098755,-0.12250691652297974,4.7198744823617744e-07,-0.2815583348274231,-0.005445500835776329,-0.24413421750068665,-0.02205650880932808,-0.2723977565765381,-0.0023445370607078075,-2.3562967777252197,1.5683953762054443,-0.10803160071372986,-0.38628697395324707,0.6050161123275757
0.20919981598854065,-0.12812381982803345,3.8230982113418577e-07,-0.08653552830219269,0.003823232604190707,-0.4262335002422333,-0.010419097729027271,-0.2715913653373718,-0.0012614117003977299,-2.352273941040039,1.5697332620620728,-0.12201046943664551,-0.399457186460495,0.6524075269699097
0.24821126461029053,-0.11786928027868271,3.0967098041401186e-07,0.04835273325443268,0.019817130640149117,-0.40446269512176514,0.0028456177096813917,-0.4541935324668884,-0.0001672800281085074,-2.353231430053711,1.5711044073104858,-0.12805038690567017,-0.45629143714904785,0.6685446500778198
0.2505342662334442,-0.11837020516395569,2.414445532394893e-07,0.1825811117887497,0.014208046719431877,-0.5775538086891174,-0.005091895814985037,-0.3405102491378784,0.0003445143229328096,-2.3532655239105225,1.5707229375839233,-0.12250762432813644,-0.5161938071250916,0.6835851669311523
0.26305314898490906,-0.11071747541427612,1.955700952294137e-07,0.3470481038093567,0.011596363969147205,-0.6637111902236938,0.004376840777695179,-0.5750030875205994,-0.0003304176789242774,-2.355191469192505,1.5710994005203247,-0.12095988541841507,-0.5831290483474731,0.6610050201416016
0.2162199467420578,-0.11146632581949234,1.963475568800277e-07,0.31052130460739136,0.009877660311758518,-0.5603379011154175,-0.0032353466376662254,-0.6348629593849182,0.0001338574948022142,-2.355686664581299,1.5708516836166382,-0.11315559595823288,-0.6679503917694092,0.6493971943855286
0.15491467714309692,-0.10396526008844376,1.5904151950962842e-07,0.2870010733604431,0.007409518118947744,-0.5403804779052734,0.005560377147048712,-0.6177549958229065,-0.00033727919799275696,-2.356153726577759,1.571010708808899,-0.11252059787511826,-0.7138715982437134,0.6578247547149658
0.07876096665859222,-0.0818646103143692,1.2882362909749645e-07,0.21063418686389923,0.0053639598190784454,-0.5199916362762451,0.015485778450965881,-0.49617934226989746,-0.0009047527564689517,-2.3557798862457275,1.571244716644287,-0.09914001077413559,-0.7494444847106934,0.6700006723403931
0.01543092168867588,-0.06800568848848343,1.0434714425855418e-07,0.1769077479839325,0.0039622243493795395,-0.5874221324920654,0.0039012127090245485,-0.5870368480682373,-7.632109918631613e-05,-2.3553900718688965,1.5708719491958618,-0.07688645273447037,-0.7751795053482056,0.6596429944038391
-0.03625188767910004,-0.08429350703954697,6.846216393796567e-08,0.15018688142299652,-0.000851945485919714,-0.5528187155723572,-0.015731077641248703,-0.3858718276023865,0.0021303778048604727,-2.3556787967681885,1.570114254951477,-0.07273747771978378,-0.8115538954734802,0.6369048357009888
-0.01206798292696476,-0.09062115103006363,5.5454350444961165e-08,0.17153210937976837,0.00029262786847539246,-0.36345764994621277,-0.00198577088303864,-0.3638998866081238,0.0010408564703539014,-2.3559515476226807,1.570690631866455,-0.08725383877754211,-0.8231271505355835,0.7066922783851624
